"Report Written:","Tuesday, August 13, 2019"
"Project Path:","C:\Giovanni\neuralmapper\PCB\NM-CAM9V022I2C\Rev1\NM-CAM9V022I2C.prj"
"Design Path:","C:\Giovanni\neuralmapper\PCB\NM-CAM9V022I2C\Rev1\NM-CAM9V022I2C.pcb"
"Design Title:",
"Created:","11/29/2018 11:36:19 AM"
"Last Saved:","8/13/2019 11:35:51 AM"
"Editing Time:","9054 min"
"Units:","mil (precision 0)"


"Ref Name","Qty","Component","Value","Side","Manufacturer","Manufacturer part number","Distributor","Distributor part number","Description","Price"
"Q1","1","NTK3134NT1G","","Bottom","ON Semiconductor","NTK3134NT1G","Digikey","NTK3134NT1GOSCT-ND","MOSFET N-CH 20V 750MA SOT-723","0.48"
"Q2","1","NTK3134NT1G","","Bottom","ON Semiconductor","NTK3134NT1G","Digikey","NTK3134NT1GOSCT-ND","MOSFET N-CH 20V 750MA SOT-723","0.48"
"CONN","1","OMNETICS_PNZ_12_VV_SMT","","Top","Omnetics","A79622-001","Omnetics","A79622-001","OMNETICS PZN-12-VV","29.00"
"R3","1","R0603_5.1_1/4","5.1","Bottom","Vishay Dale","CRCW06035R10FKEAHP","Digikey","541-5.10STR-ND","RES SMD 5.1 OHM 1% 1/4W 0603","0.11"
"R4","1","R0603_5.1_1/4","5.1","Bottom","Vishay Dale","CRCW06035R10FKEAHP","Digikey","541-5.10STR-ND","RES SMD 5.1 OHM 1% 1/4W 0603","0.11"
"R0","1","R01005_0_1/32W","0","Top","Samsung","RC0402J000CS","Digikey","1276-3538-1-ND","RES SMD 0.0 OHM JUMP 1/32W 01005","0.38"
"R6","1","R01005_1k_1/32W","1k","Bottom","Samsung","RC0402J102CS","Digikey","1276-3556-1-ND","RES SMD 1K OHM 5% 1/32W 01005","0.31"
"R7","1","R01005_1k_1/32W","1k","Bottom","Samsung","RC0402J102CS","Digikey","1276-3556-1-ND","RES SMD 1K OHM 5% 1/32W 01005","0.31"
"R8","1","R01005_1.5k_1/32W","1.5k","Top","Samsung","RC0402J152CS","Digikey","1276-3557-1-ND","RES SMD 1.5K OHM 5% 1/32W 01005","0.38"
"R9","1","R01005_1.5k_1/32W","1.5k","Top","Samsung","RC0402J152CS","Digikey","1276-3557-1-ND","RES SMD 1.5K OHM 5% 1/32W 01005","0.38"
"R12","1","R01005_10k_1/32W","10k","Top","Panasonic","ERJ-XGNJ103Y","Digikey","P10KAWCT-ND","RES SMD 10K OHM 5% 1/32W 01005","0.38"
"R5","1","R01005_10k_1/32W","10k","Bottom","Panasonic","ERJ-XGNJ103Y","Digikey","P10KAWCT-ND","RES SMD 10K OHM 5% 1/32W 01005","0.38"
"R11","1","R01005_33k_1/32W","33k","Top","Panasonic","ERJ-XGNJ333Y","Digikey","P33KAWCT-ND","RES SMD 33K OHM 5% 1/32W 01005","0.38"
"R1","1","R01005_220_1/32W","220","Top","Panasonic","ERJ-XGNJ221Y","Digikey","P220AWCT-ND","RES SMD 220 OHM 5% 1/32W 01005","0.38"
"R2","1","R01005_220_1/32W","220","Top","Panasonic","ERJ-XGNJ221Y","Digikey","P220AWCT-ND","RES SMD 220 OHM 5% 1/32W 01005","0.38"
"","58","","","","","","","","","83.57"
